%Mrecord 0 (time variation) cell 676 col 36 row 16
%CardiacSheet v5.7  Fri Sep 13 16:27:36 2013
%Reserved for the runlabel
%dt 10 usec  PrintInterval 50 usec
%:time (mS)      stim   Vm (mV)
     0.000       0 0     -88.7
     0.050       0 0     -88.7
     0.100       0 0     -88.7
     0.150       0 0     -88.7
     0.200       0 0     -88.7
     0.250       0 0     -88.7
     0.300       0 0     -88.7
     0.350       0 0     -88.7
     0.400       0 0     -88.7
     0.450       0 0     -88.7
     0.500       0 0     -88.7
     0.550       0 0     -88.7
     0.600       0 0     -88.7
     0.650       0 0     -88.7
     0.700       0 0     -88.7
     0.750       0 0     -88.7
     0.800       0 0     -88.7
     0.850       0 0     -88.7
     0.900       0 0     -88.7
     0.950       0 0     -88.7
     1.000       1 0     -88.7
     1.050       1 0     -63.1
     1.100       1 0     -46.9
     1.150       1 0     -35.4
     1.200       0 0     -24.8
     1.250       0 0     -37.5
     1.300       0 0     -41.8
     1.350       0 0     -44.7
     1.400       0 0     -48.3
     1.450       0 0     -53.4
     1.500       0 0     -59.7
     1.550       0 0     -65.5
     1.600       0 0     -69.6
     1.650       0 0     -72.6
     1.700       0 0     -74.9
     1.750       0 0     -76.6
     1.800       0 0     -77.9
     1.850       0 0     -79.0
     1.900       0 0     -79.9
     1.950       0 0     -80.7
     2.000       0 0     -81.4
     2.050       0 0     -81.9
     2.100       0 0     -82.4
     2.150       0 0     -82.9
     2.200       0 0     -83.2
     2.250       0 0     -83.6
     2.300       0 0     -83.9
     2.350       0 0     -84.2
     2.400       0 0     -84.4
     2.450       0 0     -84.6
     2.500       0 0     -84.8
     2.550       0 0     -85.0
     2.600       0 0     -85.2
     2.650       0 0     -85.4
     2.700       0 0     -85.5
     2.750       0 0     -85.6
     2.800       0 0     -85.8
     2.850       0 0     -85.9
     2.900       0 0     -86.0
     2.950       0 0     -86.1
     3.000       0 0     -86.2
     3.050       0 0     -86.3
     3.100       0 0     -86.4
     3.150       0 0     -86.5
     3.200       0 0     -86.6
     3.250       0 0     -86.6
     3.300       0 0     -86.7
     3.350       0 0     -86.8
     3.400       0 0     -86.8
     3.450       0 0     -86.9
     3.500       0 0     -87.0
     3.550       0 0     -87.0
     3.600       0 0     -87.1
     3.650       0 0     -87.1
     3.700       0 0     -87.2
     3.750       0 0     -87.2
     3.800       0 0     -87.3
     3.850       0 0     -87.3
     3.900       0 0     -87.3
     3.950       0 0     -87.4
     4.000       0 0     -87.4
%/ Program ends. Fri Sep 13 16:38:06 2013
% Copyright (c) Roger C. Barr 2013 All rights reserved.
