%Mrecord 0 (time variation) cell 1148 col 28 row 28
%CardiacSheet v5.7  Fri Sep 13 16:27:36 2013
%Reserved for the runlabel
%dt 10 usec  PrintInterval 50 usec
%:time (mS)      stim   Vm (mV)
     0.000       0 0     -88.7
     0.050       0 0     -88.7
     0.100       0 0     -88.7
     0.150       0 0     -88.7
     0.200       0 0     -88.7
     0.250       0 0     -88.7
     0.300       0 0     -88.7
     0.350       0 0     -88.7
     0.400       0 0     -88.7
     0.450       0 0     -88.7
     0.500       0 0     -88.7
     0.550       0 0     -88.7
     0.600       0 0     -88.7
     0.650       0 0     -88.7
     0.700       0 0     -88.7
     0.750       0 0     -88.7
     0.800       0 0     -88.7
     0.850       0 0     -88.7
     0.900       0 0     -88.7
     0.950       0 0     -88.7
     1.000       1 0     -88.7
     1.050       1 0     -85.5
     1.100       1 0     -82.4
     1.150       1 0     -79.4
     1.200       1 0     -76.3
     1.250       1 0     -73.3
     1.300       1 0     -70.2
     1.350       1 0     -67.2
     1.400       1 0     -64.1
     1.450       1 0     -61.1
     1.500       0 0     -58.0
     1.550       0 0     -58.0
     1.600       0 0     -58.1
     1.650       0 0     -58.1
     1.700       0 0     -58.1
     1.750       0 0     -58.1
     1.800       0 0     -58.0
     1.850       0 0     -58.0
     1.900       0 0     -58.0
     1.950       0 0     -58.0
     2.000       0 0     -58.0
     2.050       0 0     -58.0
     2.100       0 0     -58.0
     2.150       0 0     -58.0
     2.200       0 0     -58.0
     2.250       0 0     -58.0
     2.300       0 0     -58.0
     2.350       0 0     -57.9
     2.400       0 0     -57.9
     2.450       0 0     -57.9
     2.500       0 0     -57.9
     2.550       0 0     -57.9
     2.600       0 0     -57.9
     2.650       0 0     -57.9
     2.700       0 0     -57.9
     2.750       0 0     -57.9
     2.800       0 0     -57.8
     2.850       0 0     -57.8
     2.900       0 0     -57.8
     2.950       0 0     -57.8
     3.000       0 0     -57.8
     3.050       0 0     -57.8
     3.100       0 0     -57.8
     3.150       0 0     -57.8
     3.200       0 0     -57.7
     3.250       0 0     -57.7
     3.300       0 0     -57.7
     3.350       0 0     -57.7
     3.400       0 0     -57.7
     3.450       0 0     -57.7
     3.500       0 0     -57.6
     3.550       0 0     -57.6
     3.600       0 0     -57.6
     3.650       0 0     -57.6
     3.700       0 0     -57.6
     3.750       0 0     -57.5
     3.800       0 0     -57.5
     3.850       0 0     -57.5
     3.900       0 0     -57.5
     3.950       0 0     -57.5
     4.000       0 0     -57.4
     4.050       0 0     -57.4
     4.100       0 0     -57.4
     4.150       0 0     -57.4
     4.200       0 0     -57.3
     4.250       0 0     -57.3
     4.300       0 0     -57.3
     4.350       0 0     -57.3
     4.400       0 0     -57.2
     4.450       0 0     -57.2
     4.500       0 0     -57.2
     4.550       0 0     -57.1
     4.600       0 0     -57.1
     4.650       0 0     -57.1
     4.700       0 0     -57.0
     4.750       0 0     -57.0
     4.800       0 0     -56.9
     4.850       0 0     -56.9
