%Mrecord 0 (time variation) cell 1148 col 28 row 28
%CardiacSheet v5.7  Fri Sep 13 16:27:36 2013
%Reserved for the runlabel
%dt 10 usec  PrintInterval 50 usec
%:time (mS)      stim   Vm (mV)
     0.000       0 0     -88.7
     0.050       0 0     -88.7
     0.100       0 0     -88.7
     0.150       0 0     -88.7
     0.200       0 0     -88.7
     0.250       0 0     -88.7
     0.300       0 0     -88.7
     0.350       0 0     -88.7
     0.400       0 0     -88.7
     0.450       0 0     -88.7
     0.500       0 0     -88.7
     0.550       0 0     -88.7
     0.600       0 0     -88.7
     0.650       0 0     -88.7
     0.700       0 0     -88.7
     0.750       0 0     -88.7
     0.800       0 0     -88.7
     0.850       0 0     -88.7
     0.900       0 0     -88.7
     0.950       0 0     -88.7
     1.000       1 0     -88.7
     1.050       1 0     -80.9
     1.100       1 0     -73.2
     1.150       1 0     -65.5
     1.200       0 0     -57.8
     1.250       0 0     -57.8
     1.300       0 0     -57.8
     1.350       0 0     -57.8
     1.400       0 0     -57.8
     1.450       0 0     -57.8
     1.500       0 0     -57.8
     1.550       0 0     -57.8
     1.600       0 0     -57.8
     1.650       0 0     -57.7
     1.700       0 0     -57.7
     1.750       0 0     -57.7
     1.800       0 0     -57.7
     1.850       0 0     -57.7
     1.900       0 0     -57.6
     1.950       0 0     -57.6
     2.000       0 0     -57.6
     2.050       0 0     -57.6
     2.100       0 0     -57.5
     2.150       0 0     -57.5
     2.200       0 0     -57.5
     2.250       0 0     -57.4
     2.300       0 0     -57.4
     2.350       0 0     -57.4
     2.400       0 0     -57.3
     2.450       0 0     -57.3
     2.500       0 0     -57.3
     2.550       0 0     -57.2
     2.600       0 0     -57.2
     2.650       0 0     -57.1
     2.700       0 0     -57.1
     2.750       0 0     -57.0
     2.800       0 0     -57.0
     2.850       0 0     -56.9
     2.900       0 0     -56.9
     2.950       0 0     -56.8
     3.000       0 0     -56.8
     3.050       0 0     -56.7
     3.100       0 0     -56.6
     3.150       0 0     -56.5
     3.200       0 0     -56.5
     3.250       0 0     -56.4
     3.300       0 0     -56.3
     3.350       0 0     -56.2
     3.400       0 0     -56.1
     3.450       0 0     -56.0
     3.500       0 0     -55.9
     3.550       0 0     -55.8
     3.600       0 0     -55.7
     3.650       0 0     -55.6
     3.700       0 0     -55.4
     3.750       0 0     -55.3
     3.800       0 0     -55.1
     3.850       0 0     -54.9
     3.900       0 0     -54.7
     3.950       0 0     -54.5
     4.000       0 0     -54.3
     4.050       0 0     -54.1
     4.100       0 0     -53.8
     4.150       0 0     -53.5
     4.200       0 0     -53.1
     4.250       0 0     -52.7
     4.300       0 0     -52.3
     4.350       0 0     -51.8
     4.400       0 0     -51.2
     4.450       0 0     -50.4
     4.500       0 0     -49.5
     4.550       0 0     -48.4
     4.600       0 0     -46.9
     4.650       0 0     -44.9
     4.700       0 0     -41.9
     4.750       0 0     -37.5
     4.800       0 0     -30.4
     4.850       0 0     -19.1
